2026-09-17 10:06:34,607 | level=INFO | agent=live_streaming_agent | live_streaming_agent | Starting agent=live_streaming_agent version=0.1.0 env=development bus=redis://localhost:6380
2026-09-17 10:06:34,608 | level=INFO | agent=live_streaming_agent | foundation.health_server | Health server listening on port=8082
2026-09-17 10:06:34,621 | level=INFO | agent=live_streaming_agent | foundation.event_bus | RedisStreamsEventBus started stream=agent:events group=cg:live_streaming_agent consumer=live_streaming_agent-1 dlq=agent:events:dlq
2026-09-17 10:06:34,621 | level=INFO | agent=live_streaming_agent | live_streaming_agent | Agent=live_streaming_agent is up, subscribed to topics=('stream.started', 'stream.heartbeat', 'stream.interrupted', 'stream.reconnect.attempted', 'liveEnded')
2026-09-17 10:08:10,015 | level=INFO | agent=live_streaming_agent | live_streaming_agent | Handling event_type=stream.started event_id=84abd5d7-2c62-4f2f-9f49-a76c491edac4 correlation_id=health-fix-test-1
2026-09-17 10:08:10,016 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=stream.session_started outcome=success scope=None correlation_id=health-fix-test-1 event_id=84abd5d7-2c62-4f2f-9f49-a76c491edac4 detail={"startup_ms": null, "model_trained": false, "training_samples": 2}
2026-09-17 10:08:10,029 | level=INFO | agent=live_streaming_agent | live_streaming_agent | Stream started session_id=health-fix-test-1
2026-09-17 10:08:10,029 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=event.published outcome=success scope=None correlation_id=health-fix-test-1 event_id=9ac23c1b-d710-4728-891e-6ef5132a3029 detail={"event_type": "stream.monitor.armed"}
2026-09-17 10:09:04,786 | level=WARNING | agent=live_streaming_agent | live_streaming_agent | session_id=health-fix-test-1 heartbeat stale for 55s -- treating as interrupted
2026-09-17 10:09:04,787 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=stream.reconnect_attempted outcome=success scope=None correlation_id=health-fix-test-1 event_id=None detail={"attempt": 1, "max": 3, "trigger": "heartbeat_stale_sweep"}
2026-09-17 10:09:04,802 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=event.published outcome=success scope=None correlation_id=health-fix-test-1 event_id=029c5218-6d26-4143-90aa-3c87283ec534 detail={"event_type": "stream.reconnect.attempted"}
2026-09-17 10:09:04,803 | level=INFO | agent=live_streaming_agent | live_streaming_agent | Handling event_type=stream.reconnect.attempted event_id=029c5218-6d26-4143-90aa-3c87283ec534 correlation_id=health-fix-test-1
2026-09-17 10:09:04,803 | level=WARNING | agent=live_streaming_agent | foundation.contracts | No payload contract registered for event_type=stream.reconnect.attempted
2026-09-17 10:09:54,847 | level=WARNING | agent=live_streaming_agent | live_streaming_agent | session_id=health-fix-test-1 heartbeat stale for 50s -- treating as interrupted
2026-09-17 10:09:54,848 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=stream.reconnect_attempted outcome=success scope=None correlation_id=health-fix-test-1 event_id=None detail={"attempt": 2, "max": 3, "trigger": "heartbeat_stale_sweep"}
2026-09-17 10:09:54,850 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=event.published outcome=success scope=None correlation_id=health-fix-test-1 event_id=4457ae7a-c428-44c4-90b7-0bab260c9e40 detail={"event_type": "stream.reconnect.attempted"}
2026-09-17 10:09:54,852 | level=INFO | agent=live_streaming_agent | live_streaming_agent | Handling event_type=stream.reconnect.attempted event_id=4457ae7a-c428-44c4-90b7-0bab260c9e40 correlation_id=health-fix-test-1
2026-09-17 10:09:54,852 | level=WARNING | agent=live_streaming_agent | foundation.contracts | No payload contract registered for event_type=stream.reconnect.attempted
2026-09-17 10:10:44,893 | level=WARNING | agent=live_streaming_agent | live_streaming_agent | session_id=health-fix-test-1 heartbeat stale for 50s -- treating as interrupted
2026-09-17 10:10:44,894 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=stream.reconnect_attempted outcome=success scope=None correlation_id=health-fix-test-1 event_id=None detail={"attempt": 3, "max": 3, "trigger": "heartbeat_stale_sweep"}
2026-09-17 10:10:44,896 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=event.published outcome=success scope=None correlation_id=health-fix-test-1 event_id=1e8f5885-3848-4f92-abe7-aef709c70bfd detail={"event_type": "stream.reconnect.attempted"}
2026-09-17 10:10:44,897 | level=INFO | agent=live_streaming_agent | live_streaming_agent | Handling event_type=stream.reconnect.attempted event_id=1e8f5885-3848-4f92-abe7-aef709c70bfd correlation_id=health-fix-test-1
2026-09-17 10:10:44,899 | level=WARNING | agent=live_streaming_agent | foundation.contracts | No payload contract registered for event_type=stream.reconnect.attempted
2026-09-17 10:11:34,953 | level=WARNING | agent=live_streaming_agent | live_streaming_agent | session_id=health-fix-test-1 heartbeat stale for 50s -- treating as interrupted
2026-09-17 10:11:34,955 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=stream.session_ended outcome=success scope=None correlation_id=health-fix-test-1 event_id=None detail={"reason": "heartbeat_stale_timeout", "reconnect_attempts": 3, "heartbeat_count": 0, "interruption_count": 0, "model_sample_count": 3}
2026-09-17 10:11:34,956 | level=INFO | agent=live_streaming_agent | live_streaming_agent | Session ended session_id=health-fix-test-1 reason=heartbeat_stale_timeout
2026-09-17 10:11:34,961 | level=INFO | agent=live_streaming_agent | foundation.audit | audit action=event.published outcome=success scope=None correlation_id=health-fix-test-1 event_id=1e63e5b4-e12a-40cb-8254-f80d3ca35e7b detail={"event_type": "stream.ended"}
